type,entry_price,position_size,stop_loss,take_profit,entry_time,entry_balance,holding_bars,entry_trend,entry_rsi,exit_price,exit_time,holding_periods,pnl,exit_reason,exit_balance,exit_trend,exit_rsi
BUY,79501.3671875,0.6317665030490138,90576.204375,79184.79453125,2024-11-10 16:40:00,10000.0,2,uptrend,21.17231219521682,90670.5078125,2024-11-18 00:40:00,176.0,-100.0,max_loss,9900.0,uptrend,25.509489460046225
BUY,94799.9609375,0.8508855333344078,95991.954375,94567.2621875,2024-11-20 22:15:00,9900.0,3,uptrend,21.64774177085991,96256.609375,2024-12-02 11:45:00,277.5,-99.0,max_loss,9801.0,downtrend,75.46186953759096
BUY,98547.8203125,0.5951996993940912,98877.15515625,98218.48546875,2024-12-04 20:45:00,9801.0,3,uptrend,19.807340612381623,97293.34375,2024-12-21 13:55:00,401.1666666666667,746.6640728969329,stop_loss,10547.664072896932,downtrend,75.03874189290019
SELL,94254.953125,2.057315573675047,94152.415,94357.49125,2024-12-24 01:30:00,10547.664072896932,3,downtrend,70.49469545335876,98134.6171875,2025-01-04 03:45:00,266.25,7981.693296408651,stop_loss,18529.357369305584,downtrend,70.28290691602982
BUY,98993.8203125,6.078718067506074,105087.506875,98932.855625,2025-01-06 06:25:00,18529.357369305584,2,uptrend,24.542250365901012,105385.8203125,2025-01-19 16:30:00,322.0833333333333,-185.29357369305583,max_loss,18344.06379561253,downtrend,73.68751364330932
SELL,102303.1484375,1.759713418813176,97997.2684375,102511.63765625,2025-01-22 23:05:00,18344.06379561253,3,downtrend,70.97919662733202,97782.9296875,2025-02-02 15:55:00,256.8333333333333,-183.4406379561253,max_loss,18160.623157656402,downtrend,70.6744373039694
SELL,97430.0703125,1.962110807394819,96524.9409375,97615.1834375,2025-02-07 14:15:00,18160.623157656402,2,downtrend,73.6456640413385,96431.28125,2025-02-17 10:35:00,236.33333333333334,-181.60623157656403,max_loss,17979.01692607984,downtrend,71.1704677389787
BUY,95595.0078125,4.243094005605466,95679.75265625,95510.26296875,2025-02-17 14:55:00,17979.01692607984,1,uptrend,29.64660761574285,95678.9921875,2025-02-23 10:20:00,139.41666666666666,-179.7901692607984,max_loss,17799.22675681904,downtrend,92.31284916201118
BUY,84612.1875,1.3415020039632304,85103.7753125,84346.82484375,2025-02-28 21:00:00,17799.22675681904,1,uptrend,27.39281454766622,85199.1484375,2025-03-01 03:25:00,6.416666666666667,-177.9922675681904,max_loss,17621.234489250848,uptrend,19.204868839987597
BUY,85253.0,2.3508202683010326,88833.035,85103.084375,2025-03-01 03:30:00,17621.234489250848,2,uptrend,17.856955724390886,88995.5625,2025-03-06 15:00:00,131.5,-176.2123448925085,max_loss,17445.02214435834,uptrend,22.89754160940602
BUY,78870.1328125,0.6835323613353217,82565.41125,78359.69546875,2025-03-10 20:50:00,17445.02214435834,1,uptrend,29.58492612777276,82745.0,2025-03-11 21:30:00,24.666666666666668,-174.4502214435834,max_loss,17270.571922914754,downtrend,71.68951189119436
BUY,84683.0703125,0.9259654324834019,87505.019375,84310.041875,2025-03-19 13:40:00,17270.571922914754,1,uptrend,25.840696294342607,87613.609375,2025-03-24 08:55:00,115.25,-172.70571922914755,max_loss,17097.866203685608,uptrend,29.735890656676546
BUY,86711.9921875,6.012799878211754,87965.595625,86655.120625,2025-03-25 03:50:00,17097.866203685608,1,uptrend,25.278666418006793,88053.703125,2025-03-25 14:20:00,10.5,-170.9786620368561,max_loss,16926.88754164875,uptrend,29.202849903631687
SELL,87932.25,7.341735556654705,86765.3265625,87978.36140625,2025-03-26 07:00:00,16926.88754164875,1,downtrend,70.88778838023916,86654.7265625,2025-03-26 14:55:00,7.916666666666667,-169.2688754164875,max_loss,16757.61866623226,uptrend,29.5610757366599
SELL,87292.0,8.809222435553242,83743.4309375,87330.045625,2025-03-27 06:00:00,16757.61866623226,1,downtrend,71.1631398676864,83718.59375,2025-03-29 04:35:00,46.583333333333336,-167.5761866623226,max_loss,16590.04247956994,downtrend,79.65744045614744
SELL,83741.65625,11.225427985182467,83007.085,83771.21421875,2025-03-29 04:40:00,16590.04247956994,2,downtrend,76.39120466861192,82908.109375,2025-03-31 14:40:00,58.0,-165.9004247956994,max_loss,16424.142054774242,downtrend,74.05935748493923
BUY,83150.0,3.817896202809277,83490.81125,83063.96234375,2025-03-31 23:40:00,16424.142054774242,1,uptrend,27.63224920117932,83677.890625,2025-04-01 09:55:00,10.25,-164.24142054774242,max_loss,16259.9006342265,uptrend,26.08079347039984
SELL,85745.0625,0.5762718039866995,79757.091875,86309.37609375,2025-04-02 15:45:00,16259.9006342265,2,downtrend,77.94920865296004,79639.7890625,2025-04-10 20:35:00,196.83333333333334,-162.599006342265,max_loss,16097.301627884235,uptrend,28.842363299814906
SELL,83772.90625,2.696069067430274,83653.493125,83892.319375,2025-04-11 17:00:00,16097.301627884235,3,downtrend,71.12037601526087,93640.1171875,2025-04-23 07:30:00,278.5,26602.682190403422,stop_loss,42699.983818287656,uptrend,28.497043237846555
SELL,93053.5234375,2.4694092991172636,92707.691875,93399.355,2025-04-23 09:05:00,42699.983818287656,3,downtrend,74.48627550496354,93923.1171875,2025-04-27 17:20:00,104.25,2147.3828927042528,stop_loss,44847.36671099191,downtrend,73.64746179518707
SELL,93918.2578125,14.029530363924444,93854.325,93982.190625,2025-04-27 17:25:00,44847.36671099191,3,downtrend,74.42247037763192,94971.78125,2025-04-29 07:45:00,38.333333333333336,14780.439055512306,stop_loss,59627.805766504214,downtrend,73.39347943145681
